question,wrong_choice,correct_answer
"According to the 2019 Military Strengthen Ranking report released by Global Firepower, Pakistan Army ranked as the____________most Powerful Military in the World?","B. 16th
C. 17th
D. 18th",A. 15th
Which Provincial Police have banned the use of Mobile phones while on the duty?,"A. Sindh

C. Balochistan
D. None of these",B. Punjab
Federal cabinet approved first-ever e-commerce policy framework on __________?,"A. 30th Sept 2019

C. 2nd Oct 2019
D. None of these",B. 1st Oct 2019
"On 29th September 2019, Steel-cutting ceremony of first MILGEM corvette for Pakistan Navy’s (PN) held at______?","A. Karachi shipyard

C. Malaysia shipyard
D. None of above",B. Istanbul shipyard
"Google doodle paid homage to Pakistani actor, producer and script writer Waheed Murad, known as “Chocolate Hero” on his ________ birth anniversary on 02 Oct 2019:","A. 79th

C. 83rd
D. None of above",B. 81st
Who is the Current High Commissioner of Pakistan to Sri Lanka?,"B. Dr Asad Majeed Khan
C. Salman mirza
D. Ali nawaz",A. Major General ® Muhammad Saad Khattak
"Who is the Current Ambassador of Pakistan to Muscat, Oman?","A. Mr Masood khalid
B. Mr. Nafees Zakaria
C. Ali Jahangir Siddiqui",D. Ahsan K.K. Wagan
Who is the Current High Commissioner of Pakistan to Bangladesh?,"A. Aitzaz Ch.

C. Maleeha Lodhi
D. Hamid Asghar Khan",B. Imran Ahmad Siddiqui
Who is the Current Permanent Representative of Pakistan to United Nations in Geneva?,"A. Patras Bukhari
B. Munir Akram

D. Maleeha Lodhi",C. Khalil Ahmad Hashmi
Who is the Current Ambassador of Pakistan to Kuwait?,"B. Mr. Moeen-ul-Haq
C. Sohail Mahmood
D. None of them",A. Syed Sajjad Haider
Who is the Current Ambassador of Pakistan to Hungary?,"A. Ali Jahangir Siddique

C. Salman mirza
D. Ali nawaz",B. Muhammad Aejaz
For how many years Munir Akram has previously served as Pakistan’s permanent representative to the UN?,"A. 2001 to 2007

C. 2009 to 2015
D. None of these",B. 2002 to 2008
“Armed with Faith” a Documentary made on Bomb Disposal Squad by ________ police wins Emmy Award in New York??,"B. Punjab police
C. Sindh Police
D. Balochistan police",A. KPK police
"Name the Documentary on Bomb Disposal squad of KPK police, which wins Emmy award in New York??","B. Armed with Honour
C. Armed with Dignity
D. None of these",A. Armed with Faith
Which country to help Pakistan introduce genetically-engineered corn?,"A. China

C. United Kingdom
D. None of These",B. United States
Which of the following country’s have decided to launch a English language channel “to confront challenges posed by Islamophobia and setting the record straight on our great religion — Islam”?,"A. Pakistan, UAE and KSA

C. Afghanistan, Iran and Iraq
D. None of these","B. Pakistan, Turkey and Malaysia"
"According to United Nations latest estimate of 2019, Pakistan population is equivalent to ________ of the total world population?","A. 2.51%
B. 2.61%
C. 2.71%",D. 2.81%
When election tribunal of Balochistan High Court declared Deputy Speaker Qasim Khan Suri’s election to the National Assembly as null & void and ordered a re-election in the NA-265?,"A. September 7, 2019
B. September 11, 2019
C. September 17,2019","D. September 27, 2019"
"How many websites blocked by PTA carrying blasphemous and pornographic content and/or sentiments against the state, judiciary or the armed forces?","A. 100,000
B. 300,000
C. 600,000","D. 900,000"
In the __________Annual News & Documentary Emmy Awards have come to an end and Pakistani filmmaker Asad Faruqi has bagged an award for his documentary Armed with Faith?,"A. 37th
B. 38th
C. 39th",D. 40th
How many children are abused daily in Pakistan According to the report released by a child rights organisation?,"A. 5

C. 9
D. None of them",B. 7
Who is the Current Ambassador/Permanent Representative of Pakistan to World Trade Organization (WTO)?,"A. Muhammad Mohsin Rafiq

C. Dr. Syed Tauqir Shah
D. Muhammad Malik Pervaiz",B. Mujtaba Paracha
"Pakistan has permanently stopped,which train services to India?","A. Attari express
B. Kartarpur express

D. Shimla express",C. Samjhauta Express
Who is First Female Pakistani umphire of the Cricket?,"A. Shahida Tehreem

C. Hania Rehman
D. Maryam Khan",B. Humaira Farah
Who is the Current director of IMF Middle East and South Asia?,"A. Abdul Hafeez Sheikh

C. Imran Khan
D. Christine Lagarde",B. Jihad Azour
Which two Power Plants Privatization is approved by the Cab­inet Committee on Privatisation (CCoP) on 18th Sept 2019?,"B. Guddu, Nandipur
C. Bin Qasim, Jabban Hydropower Plant
D. Patrind, Jinnah hydropower project","A. Balloki, Haveli"
"Which border has been inaugurated by Prime Minister Imran Khan on 18th,Sept 2019 for 24/7?","B. Chaman – Spin Boldak crossing 24/7
C. Mirjaveh – Taftan
D. None of these",A. Torkham border
"What was the magnitude of earthquake which jolted several cities and northern parts of Pakistan on  September 24, 2019?","A. 5

C. 6
D. 6.8",B. 5.8
Under which article of the Constitution of Pakistan; The federal government’s authority can be extended to any subjected province to deal with any grave threat to the peace or tranquility or economic life of the country?,"A. Article 109
B. Article 129
C. Article 139",D. Article 149
According to SBP the Central Government’s total domestic debt increased from Rs20.7 trillion to________trillion in July 2019.,"A. Rs 21 trillion

C. Rs 23 trillion
D. Rs 24 trillion",B. Rs 22 trillion
According to the SBP the Central government’s total debts  jumped from Rs 31.8 trillion to_________trillion at the end of July 2019.,"B. Rs 34 trillion
C. Rs 35.02 trillion
D. Rs 36 trillion",A. Rs 33.02 trillion
"Dr Tahirul Qadri founded Minhaj ul Quran, a non-profit providing education, religious and cultural services, in__________?","A. October 1975

C. September 1981
D. December 1981",B. October 1981
Dr Tahirul Qadri announces retirement from politics and__________?,"B. PAM chairmanship
C. PAT membership
D. PAM membership",A. PAT chairmanship
Article 149 of the Constitution of Pakistan: What it says about federal government’s Powers?,"A. Power of President to direct Governor to discharge certain functions as his Agent
B. Acquisition of land for Federal purposes
C. A Local Government",D. Directions to Provinces in certain cases
Pakistan announces subscription to the IAEA’s Supplementary Guidance on the Management of Disused Radioactive Sources on___________?,"A. 10th September 2019

C. 12th September 2019
D. 13th September 2019",B. 11th September 2019
"________ becomes player of Pakistan Women’s Football Team, wins Gold Medal at Power Lifting Championship in Dubai.","A. Sana Mir
B. Hajra Khan

D. Bismah Maroof",C. Zulfiya Nazir
Recently PM Office issued ”Red letters” to________ ministries over ‘critical delay’ in completing the tasks assigned to them under Prime Minister Imran Khan’s directives?,"A. 25
B. 26

D. 28",C. 27
"Legendary cricketer Abdul Qadir passed away on 6th September 2019 , he was the__________?","A. Fast baler

C. Both
D. NOT",B. Leg spinner
China-Afghanistan-Pakistan Trilateral Foreign Ministers’ Dialogue the three sides “agreed on a MoU of__________?,"B. Cooperation in trade
C. Afghanistan participarion in CPEC
D. Exit of USA from Afghanistan",A. Enhancing counterterrorism cooperation
When first Trilateral Foreign Ministers’ Dialogue among China-Afghanistan-Pakistan was initiated?,"A. 2016

C. 2018
D. 2019",B. 2017
Which Country hosted the Third round of China-Afghanistan-Pakistan Trilateral Foreign Ministers’ Dialogue on 7th September 2019?,"A. Russia
B. China

D. Turkey",C. Pakistan
Recently Pakistan has denied to the India’s president Ram Nath Govind permission to fly its airspace for travelling to Iceland on__________?,"A. 6th September 2019
B. 7th September 2019

D. 9th September 2019",C. 8th September 2019
"When Abid Ali passed away he was a Pakistani actor, director and producer?","A. September 1, 2019
B. September 3, 2019

D. September 7, 2019","C. September 5, 2019"
When Abdul Qadir a former Pakistan cricket player legend in leg-spin and googly bowling passed away due to sudden heart attack?,"A. September 1, 2019
B. September 3, 2019

D. September 8, 2019","C. September 6, 2019"
Who is the Current Chairman of Punjab Vocational Training Council (PVTC)?,"A. Faisal Ijaz

C. Farhan Baloch
D. Raza Shamsi",B. Major (R) Shahnawaz Badar
When will Pakistan hold Regional Conference on SDGs (Sustainable Development Goals)?,"A. April 2020
B. Oct 2019

D. Dec 2019",C. March 2020
Name the first Pakistani Hindu girl to serve as police officer in Sindh?,"B. Suman Kumari
C. Kalpana Devi
D. None of these",A. Pushpa Kohli
Karachi has been named among the 10 least liveable cities in the world by____________ in “The Global Liveability Index 2019”?,"B. World Vision
C. Oxfam International
D. None of These",A. Economist Intelligence Unit (EIU)
Who is the Current Executive Director of Pakistan Health Research Council (PHRC) ?,"A. Maj Gen Saeed Aleem
B. Maj Gen Nadeem Ahmad
C. Lt. Gen. Muhammad Afzal",D. Maj Gen Aamer Ikram
EU Parliament committee on Foreign affairs discuss Kashmir issue on which date?,"A. 1st September 2019

C. 3rd September 2019
D. None of these",B. 2nd September 2019
The Punjab government declared ___________ a metropolitan city in Sept 2019 under the new Local Government Act 2019.,"A. Bhawalpur
B. Vehari
C. Sargodha",D. Multan
Asian development Bank (ADB) pledges to provide Pakistan about _________ in fresh assistance for various development projects and policy-based programs during the next three years under its country operations business plan 2020–2022.,"A. $6 billion

C. $8 billion
D. $9 billion",B. $7 billion
"Pakistan has successfully test-fired surface-to-surface ballistic missile __________, which is capable of delivering multiple warheads up to 290 KM on 29th August 2019?","B. Ababeel
C. Nasr
D. None of these",A. Ghaznavi
"Pakistan Successfully tested night launch of surface to surface ballistic missile named “Ghaznavi” on 29th August 2019, with a range of__________?","A. 230 KM
B. 270 KM

D. 300 KM",C. 290 KM
Pakistan observed “Kashmir Hour” from 12:00 pm to 1:00 pm in solidarity with Kashmir on____________?,"A. 5 August 2019
B. 16 August 2019

D. None of Above",C. 30 August 2019
"On 26 Aug 2019, Baloch’s celebrates _______ martyrdom anniversary of Shaheed Nawab Akbar Bugti?","A. 11th

C. 15th
D. None of these",B. 13th
The Asia Pacific Group (APG) on Money Laundering has placed Pakistan on its enhanced monitoring list for_________on 23 August 2019.,"A. 3 month
B. 6 month

D. 2 year",C. 1 year
"On Aug. 24 2019, the air forces of Pakistan and ______ began joint exercise  ‘Shaheen-vIII’.","A. Turkey
B. Malaysia
C. Australia",D. China
The government of Sindh has banned the use of  plastic bags throughout Sindh with immediate effect from ___________?,"A. September 01, 2019.

C. December 01, 2019.
D. January 01, 2020","B. October 01, 2019."
Which of the following Telecom company becomes the first and only Operator to Officially test 5G Services in Pakistan?,"A. Ufone

C. Mobilink
D. None of these",B. Zong
"The ________martyrdom anniversary of the youngest recipient of Nisahan-e-Haider, pilot officer Rashid Minhas, was observed on 20 August 2019?","A. 46th

C. 58th
D. 60th",B. 48th
"General Qamar Javed Bajwa is the_________Army Chief, Whose Tenure has been extended?","A. 1st

C. 3rd
D. 4th",B. 2nd
Extension given to COAS Gen Qamar javed Bajwa due to____________?,"A. Operation Radd-ul-Fasaad

C. Operation Zarb-e-Azb
D. None of these",B. Regional security environment
COAS General Qamar Javed Bajwa was set to retire on________?,"B. 25 August 2019
C. 29 August 2019
D. NOne of these",A. 29 November 2019
Olympian and former goalkeeper of the national hockey team Zakir Hussain passed away on 19th August 2019 at the age of_________?,"A. 70 years
B. 75 years
C. 80 years",D. 85 years
What is the name of 65 year old Pakistani man who tackled a gunman aiming to attack Muslim worshipers in a mosque in Oslo on 17 August 2019?,"A. Mohammad Yonis

C. Muhammad Shafiq
D. Muhammad Irshad",B. Muhammad Rafiq
When was Gen. Bajwa appointed as the Chief of Army Staff by former Prime Minister Nawaz Sharif?,"A. 1 November 2016
B. 9 November 2016
C. 19 November 2016",D. 29 November 2016
Army Chief Gen Bajwa’s term extended for another_______years on 19 August 2019 by PM of Pakistan.,"A. 1 years
B. 2 years

D. 4 years",C. 3 years
When did Pakistan Tehreek Insaf completed its first year of government?,"A. Aug 17th, 2019

C. Aug 19th, 2019
D. None of these","B. Aug 18th, 2019"
The United Nations Security Council (UNSC) meeting on occupied Jammu and Kashmir was held on ________?,"A. Aug 15th, 2019

C. Aug 17th, 2019
D. None of above","B. Aug 16th, 2019"
Who is the Member of National Assembly for NA 205?,"A. Ahmed Ali Khan Mahar
B. Ehsan Khan Sundrani
C. Sardar Ali Muhammad Khan Mahar",D. Sardar Muhammad Bux Khan Mahar
“Shawala Teja Singh temple” is reopened after 72 years. it is located in_________ city of Pakistan?,"A. Multan

C. Faisalabad
D. Sheikupura",B. Sialkot
In the list of most beautiful flags of the World Pakistani flag occupies the __________position?,"A. 1st
B. 10th

D. 3rd",C. 5th
The Lahore-Attari Samjhauta Express train service was started in which year?,"A. 1974

C. 1978
D. 1981",B. 1976
Who is the current Chairperson of TEVTA ?,"A. Syed Yawar Ali

C. Hafiz Farhat Abbass
D. A.R Qayyum",B. Ali Salman Siddique
India abolishes decades-old laws that gave a measure of autonomy to the disputed Muslim-majority region “Jammu and Kashmir” on_____________?,"A. August 01, 2019
B. August 03, 2019

D. None of these","C. August 05, 2019"
Maryam nawaz arrested by NAB in reference of_____________ on 8th august 2019?,"A. pakpattan land case
B. Al Azilia mill reference
C. Panama case",D. Chaudhry Sugar Mills reference
Which article under Indian Constitution gives special status to Jammu and Kashmir?,"A. 370
B. 35A

D. None of these",C. Both A & B
________opens 1000-year-old Shawala Teja Singh temple for worship after 72 years in July 2019?,"A. Saudi Arabia

C. Indonesia
D. India",B. Pakistan
Who was the opponent of Sadiq Sanjrani in Senate Election 1st august 2019?,"B. FAZUL UR REHMAN
C. SHIBLEE FARAZ
D. MEHMOOD KHAN ACHAKZAI",A. HASIL BIZENJO
Who Survived no confidence motion on senate chairmanship?,"A. Hasil Biznejo

C. Raja zafarul haq
D. None of above",B. Sadique Sanjrani
Shoppers across the country will have to provide their computerized national identity card (CNIC) number for purchases exceeding amount of___________?,"B. Rs. 60,000
C. Rs. 70,000
D. Rs. 90,000","A. Rs. 50,000"
Who represented Pakistan at the NAM Ministerial Meeting in Caracas in July 2019?,"A. Shireen Mazari

C. Shah Mehmood Qureshi
D. Maleeha Lodhi",B. Andleeb Abbas
Who Is The Current CEO Of Pakistan Petroleum Limited?,"A. Wamiq Bukhari
B. Faisal Khan
C. Arab Bhayo",D. Moin Raza Khan
The 1st general assembly elections in FATA were held on___________?,"A. 25 July 2019

C. 18 July 2019
D. Not held yet",B. 20 July 2019
Which Eminent Classical singer passed away on 1st August 2019?,"A. Medhi hassan
B. Asad Amanat Ali

D. Bade Fateh Ali khan",C. Hameed Ali khan
Who is the Current Chairman of NEPRA ?,"A. Saif Ullah Chattah

C. Syed Masood ul Hassan Naqvi
D. Brig (R) Tariq Saddozai",B. Tauseef H Farooqi
How many Oil and Gas E&P company’s were part of Kekra-1 offshore drilling 2019?,"A. 3
B. 1

D. None of these",C. 4
"US approved how many dollars of technical, logistics support for F-16 program in July 2019?","A. 120 Million Dollar
B. 122 Million Dollar

D. None of the above",C. 125 Million Dollar
"The National Assembly of Pakistan will be hosting the Commonwealth Parliamentary Association (CPA)  Asian Regional Conference in Islamabad from July 29 to August 02,2019 .","A. 4th

C. 6th
D. 7th",B. 5th
Which international arbitration institution fined Pakistan in Reko Diq mining case?,"A. International Court of Arbitration
B. London Court of International Arbitration

D. None of these",C. International Centre for Settlement of Investment Disputes
"In Reko Diq mining case, TCC filed case against Pakistan in_________?","A. January 12, 2011

C. January 12, 2013
D. January 12, 2015","B. January 12, 2012"
"In Reko Diq case, which company win the case against Pakistan ?","A. SRK Consulting Co.
B. B. Indus Mining Pvt Ltd
C. Global Mining Company",D. Tethyan Copper Company
"In Reko Diq mining case, Pakistan was fined an amount of _______ billion by ICSID?","A. $6.6 billion

C. $11.3 million
D. $4.5 billion",B. $5.976 billion
When did PM Imran Khan meet President Trump during his historic visit to USA?,"A. 20th July 2019
B. 21st July 2019

D. 23rd July 2019",C. 22nd July 2019
The first Summit between Pakistan’s P.M “Imran khan” with US President “Donald Trump” was held in_________?,"A. Singapore

C. Vietnam
D. Finland","B. Washington, D.C."
"When Prime Minister Imran Khan visit USA, Donald Trump gave the gift to PM Imran?  Khan?","A. Hockey
B. Football

D. None of these",C. Bat
"On 11 July 2019, Which of the following team has won the Shandur polo festival 2019 ?","A. Laspur

C. Ghizer
D. Gilgit-Baltistan",B. Chitral
Who became First Female Student From Balochistan To Persue A Masters In Cancer Biology?,"A. Fazila Aliani

C. Helena Saeed
D. None of above",B. Masooma Rajput
When P.M Imran Khan inaugurated the first Naya Pakistan Housing Project (NPHP) for the general public?,"A. 8 july 2019
B. 10 july 2019

D. None of these",C. 12 july 2019
Veteran actress Zaheen Tahira passes away at 79 on___________?,"A. 8 July 2019

C. 3 July 2019
D. 1 July 2019",B. 9 July 2019
Prime Minister Imran Khan launched ________ scheme under the Poverty alleviation Programme in March 2019?,"A. Intaqam

C. Intizam
D. None of These",B. Ehsas
"According to ECP, How many declared billionaires MNAs are there in National Assembly of Pakistan out of the total 342 members?","B. 20
C. 50
D. None of these",A. 10
Which of following Chief Minister is the richest Provincial Chief Executive among all four provincial assemblies?,"A. Syed Murad Ali Shah

C. Jam Kamal Khan
D. Sardar Usman Buzdar
E. None of them",B. Mehmood Khan
Which Player Takes Most Wicket in single innings of ICC Cricket World Cup 2019?,"B. Mitchell Starc
C. Shakib Al Hasan
D. Mohammad Amir",A. Shaheen Afridi
"Which Pakistani player break the record of Javed Miandad’s 437 runs in a single world Cup of 1992 edition, now leading run score for Pakistan in Cricket World cup 2019?","A. Shoaib Malik
B. Shan Masood

D. Saad Ali",C. Babar Azam
Prime Minister Imran Khan approves a grant of Rs_____ Billion for Kamyab Jawan National Youth Development Programme?,"A. 1 Billion

C. 10 Billion
D. None of These",B. 100 Billion
Prime Minister of Pakistan Imran khan inaugurated Road to Makkah project at the Islamabad international airport on,"B. July 6-2019
C. July 7-2019
D. July 8-2019",A. July 5-2019
Which of the following country has won the Asian Team Snooker Championship 2019?,"A. India

C. Qatar
D. none of them",B. Pakistan
How much medals bags by the Pakistan team in World Memory Sports council UK open championship 2019?,"A. 2

C. 7
D. None of them",B. 5
"On 27 June 2019, which country’s President arrived in Pakistan for a two-day visit?","B. Bangladesh
C. Iran
D. None of these",A. Afghanistan
From which university Pakistani playback & Qawwali singer Rahat Fateh Ali Khan received an honorary doctorate on 26 June 2019?,"B. Harvard University
C. Cambridge university
D. None of these",A. Oxford university
Total amount set for Sukkur-Multan motorway under 2019-20 budget?,"A. 15 billion rupee
B. 17 billion rupee

D. 21 billion rupee",C. 19 billion rupee
Who chaired the budget session of 2019-2020?,"B. Imran Khan
C. Hafeez Sheikh
D. Asad Umar",A. Asad Qaiser
Who presented federal budget of the government of 2019-2020?,"A. Hafeez Sheikh
B. Asad Qaiser

D. Asad Umar",C. Hammad Azhar
Total amount of present budget set for 2019-20 is__________?,"B. Rs 7680.2 billion
C. Rs 7750 million
D. Rs 7879 million",A. Rs 7022 billion
Total amount set for DIAMER BHASHA DAM and land acquisition under 2019-20 budget is ________?,"A. 16 billion rupee
B. 17 billion rupee
C. 19 billion rupee",D. 20 billion rupee
Total amount set for Mohamand Dam under 2019-20 budget is __________?,"A. 12 billion rupees

C. 16 billion rupees
D. 16.6 billion rupees",B. 15 billion rupees
How much percentage of pensions was increased for Government employees under 2019-20 budget?,"A. 8%

C. 14%
D. 15%",B. 10%
The Asian Development Bank has forecast Pakistan’s economic growth rate from 4.8 to decelerate to______ in fiscal year 2019?,"B. 3.7%
C. 3.4%
D. 4.2%",A. 3.9%
According to Asian Development Bank (ADB) report the inflation is expected to rise sharply to average_________ in FY2019?,"B. 6.9%
C. 6.7%
D. 6.5%",A.  7.5%
Nigar Johar is the _______ woman in the history of Pakistan Army to reach the rank of Major General?,"A. 2nd

C. 4th
D. None of these",B. 3rd
Newly Merged FATA Gets Its First Police Station in____________?,"A. Mir Ali
B. Miran Shah

D. None of these",C. Wana
On 13th May 2019 which Amendment of the Constitution of Pakistan was passed in National Assembly of Pakistan?,"A. 27th Amendment

C. 28th Amendment
D. 25th Amendment",B. 26th Amendment
"Former Governor Tariq Bajwa , was the ___________ Governor of the State Bank of Pakistan?","A. 25th
B. 26th
C. 18th",D. 19th.
How many consecutive years Pakistan Army team has been the winner of Pace Sticking Competition?,"B. Third
C. Fourth
D. None of these",A. Second
"The World Bank has approved a package of_______ million to support Pakistan’s efforts to raise revenue, reduce compliance cost?","A. $515

C. $520
D. None of above",B. $518
MQM founder Altaf Hussain was arrested in London over ___________speech?,"B. incendiary 2015 Speech
C. incendiary 2012 Speech
D. incendiary 2013 Speech",A. incendiary 2016 Speech
The Federal budget for the fiscal year 2019-2020 announced on _____________?,"A. June 9, 2019
B. June 10, 2019

D. June 12, 2019","C. June 11, 2019"
British Airways after 11 years has arrived at Islamabad International Airport on ___________ ?,"A. June 1, 2019
B. June 2, 2019

D. June 4, 2019","C. June 3, 2019"
Which country for the First time in judicial history has started hearing of cases via video Link with the lunch of new e-Court system?,"B. Bangladesh
C. Nepal
D. India",A. Pakistan
"On 25th May 2019, Young mountaineers Amina Hanif and Siddiqa Batool set a record to summit the highest peak in__________?","A. Norway
B. Australia

D. Africa",C. Spain
Who launches Pakistan first Moon Sighting Website?,"B. Ali haider zaidi
C. Abdul Hafeez Sheikh
D. Shireen Mazari",A. Fawad Chaudhry
China to solarise 10000 household’s in which province of Pakistan?,"B. Punjab
C. Sindh
D. KPK",A. Balochistan
International Military Drill Competition 2019 Won by Pak Army for second consecutive year which was held at the Royal Military Academy Sandhurst in the United Kingdom was Known as _________________?,"A. swagger Sticking Competition

C. Quick March Competition
D. None of these",B. Pace Sticking Competition
Pakistan Army has won an international military drill competition 2019 for second consecutive year which was held in_________?,"A. USA

C. UAE
D. None of these",B. UK
"On June 18-2019, President Dr Arif Alvi conferred Nishan-E-Imtiaz (Military) upon Gen Han Weiguo, Commander of the PLA Ground force Of__________?","B. Vietnam
C. Japan
D. South Korea",A. China
"Two teenage girls from Ghanche district of _____ have scaled the Teide peak, the highest mountain in Spain.","B. KPK
C. Sindh
D. Baluchistan",A. Gilgit-Baltistan
How many Foreign Personalities got Nishan-e-Pakistan?,"A. 23
B. 25

D. None of These",C. 27
The Depth of Offshore Drilling Kekra-1 for Oil and Gas was _________ ?,"A. 8,500 meters
B. 7,500 meters
C. 6,500 meters","D. 5,500 meters"
The cost of offshore Drilling at Kekra-1 site Karachi was estimated at__________?,"A. Rs 25bn
B. Rs 20bn

D. Rs 8 bn",C. Rs 15bn
Which Pakistani soldier awarded the Dag Hammarskjold medal by U.N Secretary General António Guterre on 25 May 2019?,"A. M. Aslam

C. Rashid khan
D. None of these",B. Naik Muhammad Naeem Raza
pakistan has contributed over_________ troops to 46 UN peacekeeping mission over the last six decades?,"A. 100,000

C. 300,000
D. None of these","B. 200,000"
_________ becomes first Pakistani to conquer world’s seven 8000m peaks?,"A. Mooen Ali
B. Nazir Sabir
C. Hanbal Mahboob",D. Ali Sadpara
"Pakistan on 23rd, May 2019 successfully conducted a “training launch” of a ballistic missile __________ capable of carrying both nuclear and conventional warheads up to _________ kilometers.","A. Shaheen I , 1,200 kilometers

C. Ghori II, 1,800 kilometers
D. Al. Khalid, 1,300 kilometers","B. Shaheen II, 1,500 kilometers"
Saudi Arabia to give Pakistan $______ billion oil on deferred price from July?,"A. $ 3 billion
B. $ 3.1 billion
C. $ 3.4 billion",D. $ 3.2 billion
Which country stopped issuing visas for all categories to Pakistanis recently in May 2019?,"B. UK
C. United States
D. India",A. Bangladesh
__________ becomes the first Pakistani man climbed 7 Summits in 7 Continents?,"A. Sadpara

C. Sultan Mirza
D. None of these",B. Mirza Ali
Federal Minister for Narcotics Control Sardar Ali Muhammad Khan Mahar died on_____________?,"A. 22nd May 2019
B. 15th April 2019

D. None of these",C. 21st May 2019
Pakistan’s Prime Minister Imran Khan met Irani leader ” Ali Khamnaye” on  ________?,"B. 24th  April 2019
C. 16th April 2019
D. 12th May 2019",A. 22nd April 2019
Name the Pakistani Woman honoured with IBM’s highest prestigious  award ” Beat of IBM 2019 ?,"B. Noreen Akbar
C. Fatima Kanwal
D. Eisha Khan",A.  Asma Zaheer
Mohmand Dam will irrigate ___________acres of Land?,"A. 19,100 acres
B. 18,100 acres

D. None of These","C. 15,100 acres"
"Once Completed, the Mohmand dam will generate_______MW of  hydroelectricity?","B. 900 MW
C. 600 MW
D. 500 MW",A. 800 MW
PM Khan has given nod to the youth development program named?,"A. Wazir-i-Azam Students Programme” (WASP).

C. PM laptop scheme (PLS)
D. None",B. Wazir-i-Azam Kamyab Naujawan Programme” (WAKNP).
"who pioneered the first ever Pakistan pavilion at the 58th prestigious international art exhibition, Venice Biennale.","A. Saima Khan

C. Anita baig
D. None of the above",B. Nazia khan
First Wheel Chair Asia Cup 2019 was won by which team?,"B. India
C. Sri Lanka
D. Bangladesh",A. Pakistan
Name the Youngest Pakistani Player who scored 150+ Run in an ODI innings?,"A. Fakhar Zaman
B. Ahmad Shahzad
C. Babar Azam",D. Imam ul Haq
Who is elected as the Chairman of National Assembly Finance Panel?,"A. Dr Reza Baqir
B. Abdul Hafeez Shaikh
C. Ishrat Hussain",D. Asad Umar
26th Amendment Act of Constitution of Pakistan 1973 is based on increase of Seats of National Assembly and Provincial Assembly of which Region?,"B. Punjab
C. Sindh
D. Balochistan",A. Ex FATA
"With the passage of 26th Amendment bill in N. A on 13 May 2019, the Ex Fata KPK Assembly seats increased from 16 to_______?","A. 23

C. 25
D. 26",B. 24
"With the passage 26th Amendment of Constitution of Pakistan, Ex Fata districts, National Assembly seats will increase from 6 to_______?","A.  10
B.  11

D. 16",C. 12
When 26th Amendment of Constitution of Pakistan passed in National Assembly of Pakistan?,"B. 12 May 2019
C. 11 May 2019
D. 10 May 2019",A. 13 May 2019
Pakistan signed an agreement worth _______ billion dollars to borrow from IMF under new finance adviser Abdul Hafeez Shaikh?,"B. 5 billion $
C. 7 billion $
D. 4 billion $",A. 6 billion $
Which Hotel was attacked on 11th of May 2019 by BLA?,"A. Pc burbhan
B. Serena quetta

D. Marriott Karachi",C. Pc Gawadar
Who is the Current Ambassador of Pakistan to Turkey?,"A. Riffat Masood
B. Masood Khan

D. Dr. Asad Majeed Khan",C. Muhammad Syrus Sajjad Qazi
Election to 16 tribal seats of KP Assembly will be held on___________?,"A. 1st May 2019

C. 3rd August 2019
D. 4th June 2019",B. 20th July 2019
Which Pakistani Doctor selected for “Rolex Awards for Enterprise 2019”?,"A. Rubina Khan

C. Maria Gul
D. Nazia Fahad",B. Sara Saeed
Pakistan’s First Woman String Theorist is______________?,"A. Dr. Faryal Mehmud

C. Dr. Tayyaba Majeed
D. Dr. Rubina Javed",B. Dr. Tasneem Zehra Hussain
Name the Youngest Pakistani-origin teen Who becomes Councilor in UK?,"A. Hamid Zulfiqar

C. Zahid Ashraf
D. Zafar Khalil",B. Hannan Sarwar
Punjab Cabinet has approved ________ billion rupees on 3rd May 2019 for establishment of Punjab Housing and Town Planning Agency (PHATA) for Prime Minister’s Naya Pakistan Housing Programme?,"B. Seven billion rupees
C. Eight billion rupees
D. None of These",A. five billion rupees
"Ex-Governor Tariq Bajwa , was the ___________ Governor of the State Bank of Pakistan?","A. 14th
B. 16th
C. 18th",D. 19th
What is the name of Chairman of FBR ( Federal Board of Revenue)  who has been removed by Federal Govt on 3rd May 2019?,"B. Dr. Asad Majeed khan
C. Tariq Bajwa
D. Amir Sultan",A. Dr.  Jahanzaib khan
Pakistanis were ranked number ______  in the world as angriest people in The Gallup 2019 Global Emotions Report.,"B. 11
C. 12
D. 13",A. 10
Mohamand Dam which is being constructed on swat river will completed at the cost of Rs.________billion by 2024?,"A. Rs. 143 billion
B. Rs. 163 billion

D.  None of these",C. Rs. 183 billion
Shahbaz Sharif stepped down from the chairmanship of Public Account Committee (PAC) on_____________?,"B. 3rd May, 2019
C. 4th May, 2019
D. None of these","A. 2nd May, 2019"
“Game Changer” is the autobiography of which famous Cricketer?,"A. Wasim Akram
B. Shoaib Akhtar

D. Misbah ul Haq",C. Shahid Afridi
Pakistan’s response to Indian aggression on February 27 will be remembered as___________?,"B. Operation Zarb-e-Azb
C. Operation Sher-e-Dil
D. None of these",A. Operation Swift Retort
Mohmand Hydro Power Project is being constructed on which River of Pakistan?,"A. Indus River

C. Kabul River
D. Ravi River",B. Swat River
When the PM of Pakistan laid down the Foundation of Mohmand Dam?,"B. 1st May 2019
C. 3rd May 2019
D. 30th April 2019",A. 2nd May 2019
